Tên dự án,Giá,Diện tích,Phòng ngủ,Phòng vệ sinh,Vị trí,Địa chỉ chi tiết
"Chính chủ bán đất LUA góc 2MT đường tránh Phường Mỹ Hòa, TP Long Xuyên, An Giang. DT: 4.551m2",Giá thỏa thuận,4.551 m²,Không có thông tin,Không có thông tin,"Long Xuyên, An Giang","Phường Mỹ Hòa, Long Xuyên, An Giang"
Hàng hiếm ngõ vip phố Thái Hà - phân lô ô tô tránh - 7 tầng thang máy - kinh doanh văn phòng,29 tỷ,56 m²,12,12,"Đống Đa, Hà Nội","Ngõ 121, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội"
Nhà mặt phố Trung Liệt Đống Đa 60m 24tỷ 4tầng mt4m oto tránh kinh doanh sầm uất ngay phố thái hà,24 tỷ,60 m²,5,4,"Đống Đa, Hà Nội","Phố Trung Liệt, Phường Trung Liệt, Đống Đa, Hà Nội"
Bán căn hộ 2 phòng ngủ giá tốt chỉ từ 2 tỷ 19,"2,19 tỷ",50 m²,2,1,"Quận 9, Hồ Chí Minh","Dự án Sky 9, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
Nhà mặt phố Định Công Thượng 53m2 14tỷ 5tầng MT 4.7m kinh doanh vị trí đắc địa tương lai sáng ngời,14 tỷ,53 m²,8,4,"Hoàng Mai, Hà Nội","Đường Định Công Thượng, Phường Định Công, Hoàng Mai, Hà Nội"
Mặt phố Trần Nguyên Đán Định Công Hoàng Mai 28 tỷ 60m2 4tầng MT5m vỉa hè oto kinh doanh sầm uất,28 tỷ,60 m²,6,4,"Hoàng Mai, Hà Nội","Đường Trần Nguyên Đán, Phường Định Công, Hoàng Mai, Hà Nội"
"Bán đất ở thôn Phú Thượng, xã Hòa Sơn, 860 triệu, 110m2, sổ hồng đầy đủ",860 triệu,110 m²,Không có thông tin,Không có thông tin,"Hòa Vang, Đà Nẵng","Xã Hòa Sơn, Hòa Vang, Đà Nẵng"
"Bán gấp đất Golden Hills City, 9,2 tỷ, 297,9m2, Liên Chiểu, Đà Nẵng","9,2 tỷ","297,9 m²",Không có thông tin,Không có thông tin,"Liên Chiểu, Đà Nẵng","Dự án Golden Hills City, Đường 7, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng"
"Gấp, Mót-cần bán nhà 120m Phú Viên, Bồ Đề ô tô tránh, KD sầm uất, vị trí siêu đẹp,giá Đầu Tư 17.Xty","17,9 tỷ",120 m²,3,Không có thông tin,"Long Biên, Hà Nội","Đường Phú Viên, Phường Bồ Đề, Long Biên, Hà Nội"
17tỷ/căn BT Long Việt Quang Minh Mê Linh 242.5m2 view công viên cạnh góc đường to sổ đỏ sang tên,17 tỷ,"242,5 m²",Không có thông tin,Không có thông tin,"Mê Linh, Hà Nội","Dự án KĐT Quang Minh, Đường Cao tốc Thăng Long Nội Bài, Thị trấn Quang Minh, Mê Linh, Hà Nội."
"Bán biệt thự 4 tầng, 3 thoáng: 17PN, 12WC, Vị trí đắc địa, giá tốt tại Phố Vàng, Thanh Sơn, Phú Thọ","16,8 tỷ",220 m²,17,12,"Thanh Sơn, Phú Thọ","Phố Vàng, Thị trấn Thanh Sơn, Thanh Sơn, Phú Thọ"
MẶT TIỀN 7M -- VIEW THOÁNG VĨNH VIỄN -- NHÀ THÔ LUXURY KIẾN HƯNG -- 1 LÔ DUY NHẤT,"15,5 tỷ",70 m²,6,6,"Hà Đông, Hà Nội","Dự án Kiến Hưng Luxury, Đường Phúc La, Phường Kiến Hưng, Hà Đông, Hà Nội"
"Bán biệt thự D5C Vườn Đào, vị trí đẹp, diện tích 230.9m2, mặt tiền 15m, đất nở hậu, giá 119 tỷ",119 tỷ,"230,9 m²",5,7,"Tây Hồ, Hà Nội","Ngõ 679 Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội"
"Bán NR view đẹp tại Trung Kính, 14,2 tỷ, 40m2, 4PN + 4WC, chính chủ","14,2 tỷ",40 m²,4,4,"Cầu Giấy, Hà Nội","Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội"
"Bán hàng ngộp Opal skyline - studio - 1,1 Tỷ, 1PN - 1,55 tỷ, 2PN - 1,68 tỷ, 3PN - 2,39 tỷ - sẵn sổ","1,68 tỷ",63 m²,2,2,"Thuận An, Bình Dương","Opal Skyline, Nguyễn Văn Tiết, Lái Thiêu, Thuận An, Bình Dương"
"Nhà MT 6 x 27m kết cấu 4 tầng Q Bình Tân, cho thuê 45tr giá cực rẻ, chỉ có 11.3tỷ TL","11,3 tỷ",156 m²,22,22,"Bình Tân, Hồ Chí Minh","203 Đường Trần Thanh Mại, Phường Tân Tạo A, Bình Tân, Hồ Chí Minh"
"Bán nhà LK nội khu Gamuda 90m, vị trí đẹp nhất phân khu ST5, đón đường Tam Trinh sắp mở đẹp mê ly",Giá thỏa thuận,90 m²,4,4,"Hoàng Mai, Hà Nội","Dự án Gamuda Gardens, Đường Tam Trinh, Phường Trần Phú, Hoàng Mai, Hà Nội"
"Chính chủ em có 10 căn nhà mới thơm mùi sơn tại An Khánh, Hoài Đức sẵn dọn về ở ngay",Giá thỏa thuận,40 m²,Không có thông tin,Không có thông tin,"Hoài Đức, Hà Nội","Xã An Khánh, Hoài Đức, Hà Nội"
Mặt trục thương mại 21m - BT Solasta Mansion Dương Nội - dành cho giới tinh hoa,39 tỷ,200 m²,Không có thông tin,Không có thông tin,"Hà Đông, Hà Nội","Solasta Mansion, Đường Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội"
"Quỹ đất dịch vụ An Thượng khu 12.5ha - mặt đường LK8, mặt hồ, mặt công viên của BĐS Huy Đào",Giá thỏa thuận,"55,8 m²",Không có thông tin,Không có thông tin,"Hoài Đức, Hà Nội","Xã An Thượng, Hoài Đức, Hà Nội"
Nhà thật giá thật chỉ 5 tỷ 2 căn ở hẻm 1 xẹt Lê Hồng Phong DT gần 37m2 2PN 2WC SHR full nội thất,"5,2 tỷ","36,4 m²",2,3,"Quận 10, Hồ Chí Minh","Đường Lê Hồng Phong, Phường 2, Quận 10, Hồ Chí Minh"
Nhà đẹp ở liền ngay đội cung quận 11 giá 3 tỷ TL ít DT 30m2 2PN 3WC SHR tặng nội thất cơ bản,3 tỷ,30 m²,2,2,"Quận 11, Hồ Chí Minh","Đường Đội Cung, Phường 11, Quận 11, Hồ Chí Minh"
"Bán shophouse 135m2 tại Gamuda Gardens, 53 tỷ, 4PN, 4WC",53 tỷ,135 m²,4,4,"Hoàng Mai, Hà Nội","Gamuda Gardens, Đường Đỗ Mười, Phường Trần Phú, Hoàng Mai, Hà Nội"
Mặt hồ Chùa Láng - 68m2 xây 6 tầng - vỉa hè kinh doanh - ô tô chạy vòng quanh,"33,8 tỷ",68 m²,6,6,"Đống Đa, Hà Nội","Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội"
BÁN NHÀ _ TRẦN ĐIỀN _ Ở KINH DOANH _ VĂN PHÒNG _ PHÒNG KHÁM _TUYỆT ĐỈNH_ GẦN _ BV _ BƯU ĐIỆN,"16,9 tỷ",63 m²,9,9,"Hoàng Mai, Hà Nội","Đường Trần Nguyên Đán, Phường Định Công, Hoàng Mai, Hà Nội"
"Shophouse góc vườn hoa, vị trí đẹp, giá tốt nhất dự án Centa City VSIP Bắc Ninh","6,4 tỷ",90 m²,4,5,"Từ Sơn, Bắc Ninh","Dự án Centa City, Đường Hữu Nghị, Phường Phù Chẩn, Từ Sơn, Bắc Ninh"
80m2 đất DV Thăng Long 9 đường 17m. Nằm đối diện trường Liên Cấp dự án Hinode Royal Park-gần hồ 6ha,"12,6 tỷ",80 m²,Không có thông tin,Không có thông tin,"Hoài Đức, Hà Nội","Xã Kim Chung, Hoài Đức, Hà Nội"
Bán nhà phố chân chung cư City light sẵn kd dòng tiền giáp KCN và chợ Vina giá đầu tư,"8,5 tỷ",80 m²,5,5,"Vĩnh Yên, Vĩnh Phúc","The City Light Vĩnh Yên, Đường Nguyễn Tất Thành, Phường Khai Quang, Vĩnh Yên, Vĩnh Phúc"
"Duplex 4PN Infiniti 177m2 giá 13,4ty, view Phú Mỹ Hưng về đêm lung linh, nhà thô, tầng trung đẹp","13,4 tỷ",177 m²,4,3,"Quận 7, Hồ Chí Minh","The Infiniti Riviera Point, Huỳnh Tấn Phát, Tân Phú, Quận 7, Hồ Chí Minh"
"Lô đất Lô đất sạch đẹp đường Số 7 Hà Quang 2, vị trí gần đường số 2. Xung quanh đang xây dựng nhiều","7,76 tỷ","117,5 m²",Không có thông tin,Không có thông tin,"Nha Trang, Khánh Hòa","Dự án KĐT Lê Hồng Phong II, Đường Số 7, Phường Phước Hải, Nha Trang, Khánh Hòa"
"Bán mảnh đất 305m2, 16,5 tỷ cạnh Đại Lộ Thăng Long, BigC Trần Duy Hưng, Cầu Giấy 10 phút","16,5 tỷ",305 m²,Không có thông tin,Không có thông tin,"Hoài Đức, Hà Nội","Xã Vân Côn, Hoài Đức, Hà Nội"
"Quỹ độc quyền CĐT Vinhomes Ocean Park studio, 1N, 2N, 3N giá tốt, chiết khấu cao","2,35 tỷ",48 m²,1,1,"Gia Lâm, Hà Nội","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội"
"Cắt lỗ sâu 2 căn The Senique: 64m (2PN) S2.2x20 lô góc cắt lỗ 170tr, 42m (1PN) SP.1x23 lỗ 150tr","3,6 tỷ",42 m²,Không có thông tin,Không có thông tin,"Gia Lâm, Hà Nội","Chung cư The Senique Hanoi , Dương Xá, Gia Lâm, Hà Nội"
"Bán nhà mặt phố 2 mặt tiền Nguyễn Xiển, 69,9 tỷ, 92 m2, 14PN + 15WC + 8tầng, hot! Kinh doanh đỉnh","69,9 tỷ",92 m²,14,15,"Thanh Xuân, Hà Nội","Đường Nguyễn Xiển, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội"
SIÊU PHẨM APARTMENT ĐẲNG CẤP CHÂU ÂU - LÔ GÓC - SÁT PHỐ - DÒNG TIỀN CAO - 640M - 8T - MT20 - 231TỶ,231 tỷ,640 m²,14,14,"Tây Hồ, Hà Nội","đường Tây Hồ, Phường Quảng An, Tây Hồ, Hà Nội"
"Xẻ khe 141 siêu đẹp dự án Sapphire Gem , Ngay TTHC mới Hải Phòng, giá chỉ 7,x tỷ bao thuế phí","7,8 tỷ",141 m²,Không có thông tin,Không có thông tin,"Thủy Nguyên, Hải Phòng","Dự án Sapphire Gem Hải Phòng, Phường Thủy Đường, Thủy Nguyên, Hải Phòng"
"Xẻ khe 141 siêu đẹp dự án Sapphire Gem , Ngay TTHC mới Hải Phòng, giá chỉ 7,x tỷ bao thuế phí","7,8 tỷ",141 m²,Không có thông tin,Không có thông tin,"Thủy Nguyên, Hải Phòng","Dự án Sapphire Gem Hải Phòng, Phường Thủy Đường, Thủy Nguyên, Hải Phòng"
"Bán nhanh mặt tiền đường số 3 (rộng 30m) khu Cityland, P10, DT: 18x20 hoàn thiện thang máy máy lạnh",Giá thỏa thuận,100 m²,Không có thông tin,Không có thông tin,"Gò Vấp, Hồ Chí Minh","Dự án CityLand Park Hills, Đường Số 3, Phường 10, Gò Vấp, Hồ Chí Minh."
Nhà đẹp Phúc Lợi oto đỗ cửa Full nội thất giá hiếm,"5,2 tỷ",31 m²,3,Không có thông tin,"Long Biên, Hà Nội","Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội"
"Bán căn hộ chung cư tại Nguyễn Oanh, 2,5 tỷ, 62m2, 2PN, 1WC, Gò Vấp, HCM","2,5 tỷ",62 m²,2,1,"Gò Vấp, Hồ Chí Minh","An Lộc, Đường Nguyễn Oanh, Phường 17, Gò Vấp, Hồ Chí Minh"
"Tùng cần bán đấT Ngộp ""Nhà Vườn"" lúc đất sốt 2022 (2ty5 không bán) Nay giá còn lại 1ty650","1,65 tỷ",1.000 m²,Không có thông tin,Không có thông tin,"Long Thành, Đồng Nai","Xã Cẩm Đường, Long Thành, Đồng Nai"
Lô đất mặt đường Lê Văn Lương trung tâm TP Hưng Yên giá hợp lý,"25,58 tỷ",341 m²,Không có thông tin,Không có thông tin,"Hưng Yên, Hưng Yên","Đường Lê Văn Lương, Phường An Tảo, Hưng Yên, Hưng Yên"
Giới thiệu và chào bán căn biệt thự BT 4 Bán Đảo Linh Đàm,320 triệu,273 m²,5,6,"Hoàng Mai, Hà Nội","Đường Nam Sơn, Phường Hoàng Liệt, Hoàng Mai, Hà Nội"
"HIẾM, 2 LÔ XÂY BIỆT THỰ ~200M2, SÁT KHU CÔNG NGHIỆP, THIÊN HƯƠNG, THỦY NGUYÊN, HP, SỔ ĐỎ, ĐƯỜNG 5M","2,25 tỷ",106 m²,Không có thông tin,Không có thông tin,"Thủy Nguyên, Hải Phòng","Thiên Hương, Thủy Nguyên, Hải Phòng"
"CHUYÊN BÁN DÒNG Căn hộ 2 ngủ TỪ 3.4 tỷ vinhomes smart, DANH SÁCH các căn ĐẦY ĐỦ DƯỚI NỘI DUNG","3,4 tỷ",54 m²,2,1,"Nam Từ Liêm, Hà Nội","Vinhomes Smart City , Tây Mỗ, Nam Từ Liêm, Hà Nội"
Chính chủ bán lô đất đối diện vinhomes 197ha Hậu Nghĩa ( bên kia đường ),"8,2 tỷ",530 m²,Không có thông tin,Không có thông tin,"Đức Hòa, Long An","Vinhomes Hậu Nghĩa , Đường 3/2, Thị trấn Hậu Nghĩa, Đức Hòa, Long An"
BÁN NHÀ GẦN VINCOM TP DĨ AN - GIÁ RẺ NHẤT KHU VỰC - CẦN BÁN GẤP,"4,75 tỷ","67,5 m²",3,3,"Dĩ An, Bình Dương","Phường Tân Đông Hiệp, Dĩ An, Bình Dương"
"GIỎ HÀNG T&T CITY MILLENNIA T3/2025, NHIỀU VỊ TRÍ ĐẸP GIÁ TỐT ĐỂ ĐẦU TƯ . LH 0938 193 *** EM PHƯỚC","4,2 tỷ",120 m²,Không có thông tin,Không có thông tin,"Cần Giuộc, Long An","T&T Millennia City Long Hậu, Xã Long Hậu, Cần Giuộc, Long An"
"Bán đất tại Nguyễn Ngọc Vũ, Trung Hòa, Cầu Giấy, Hà Nội, 48 tỷ, 285 m2 hàng hiếm giá tốt",48 tỷ,285 m²,5,5,"Cầu Giấy, Hà Nội","Phố Nguyễn Ngọc Vũ, Phường Trung Hòa, Cầu Giấy, Hà Nội"
NHÀ THẠCH BÀN 6 TẦNG THANG MÁY,"6,45 tỷ",40 m²,3,4,"Long Biên, Hà Nội","Thạch Bàn, Đường Nguyễn Thời Trung, Phường Thạch Bàn, Long Biên, Hà Nội"
"16/3 Kho hàng Phương Đông lk02,lk10,lk11,lk18,lk19,lk23,lk20,lk21,lk45 giá từ 24 triệu/m2","2,1 tỷ","87,5 m²",Không có thông tin,Không có thông tin,"Vân Đồn, Quảng Ninh","Dự án Khu đô thị Phương Đông, Xã Đông Xá, Vân Đồn, Quảng Ninh"
Sapphire Gem - 3 suất ngoại giao Liền Kề Trục 21m gần công viên - Giá không tăng,"5,42 tỷ",110 m²,Không có thông tin,Không có thông tin,"Thủy Nguyên, Hải Phòng","Sapphire Gem Hải Phòng, Thủy Đường, Thủy Nguyên, Hải Phòng"
Siêu phẩm shophouse tại khu đô thị Việt Hàn giá chỉ từ 2. X tỷ sổ đỏ trao tay nhận nhà ngay,Giá thỏa thuận,100 m²,8,4,"Phổ Yên, Thái Nguyên","Dự án KĐT Việt Hàn, Đường Phạm Văn Đồng, Xã Hồng Tiến, Phổ Yên, Thái Nguyên."
Chỉ 1. X tỷ nhận ngay lô 100m2 tại trung tâm Thành Phố Phổ Yên sổ đỏ trao tay LH: 0986 567 ***,Giá thỏa thuận,100 m²,Không có thông tin,Không có thông tin,"Phổ Yên, Thái Nguyên","Khu đô thị Việt Hàn, Phạm Văn Đồng, Hồng Tiến, Phổ Yên, Thái Nguyên"
BÁN CCMINI KĐT GALAXY VẠN PHÚC -- LÔ GÓC 17 PHÒNG DOANH THU ~ 1 TỶ/NĂM THANG MÁY HIỆN ĐẠI,Giá thỏa thuận,80 m²,Không có thông tin,Không có thông tin,"Hà Đông, Hà Nội","Phường Vạn Phúc, Hà Đông, Hà Nội"
"Hiếm, bán shop chân đế dòng tiền 60 tr/ tháng, hợp đồng 5 năm, ký mới cđt",Giá thỏa thuận,60 m²,1,1,"Văn Giang, Hưng Yên","Ecopark, Đường Trúc, Xã Xuân Quan, Văn Giang, Hưng Yên"
"Bán căn hộ Bcons Green Sapphire , giá chỉ từ 1,6 tỷ 1PN, ưu đãi đặc biệt hấp dẫn tháng 3/2025","1,99 tỷ",60 m²,2,2,"Dĩ An, Bình Dương","Bcons City, Thống Nhất, Đông Hòa, Dĩ An, Bình Dương"
"Bán Căn Góc 3PN-2VS giá ưu đãi tại Vinhome Ocean Park, Đa Tốn, Gia Lâm, Hà Nội, 3,78 tỷ, 73,02m2","3,78 tỷ","73,02 m²",3,2,"Gia Lâm, Hà Nội","Bán căn Góc 3N- S2.09 Vinhome Ocean Park, Đa tốn, Gia Lâm, Hà Nội"
Cần bán nhà phố dĩ an sát thành phố thủ đức,"4,65 tỷ","61,2 m²",3,3,"Dĩ An, Bình Dương","Đường Quốc lộ 1K, Phường Bình An, Dĩ An, Bình Dương"
"Bán gấp Căn hộ 75m2 giá 4,85 tỷ, Căn hộ 96m2 giá 5,9 tỷ tại chung cư HUD3, số 60 Nguyễn Đức Cảnh","4,85 tỷ",75 m²,Không có thông tin,2,"Hoàng Mai, Hà Nội","HUD3 Nguyễn Đức Cảnh, 60, Đường Nguyễn Đức Cảnh, Phường Tương Mai, Hoàng Mai, Hà Nội"
"Bán shophouse chân đế phân khu S vin ocean 1, sẵn hợp đồng cho thuê dài hạn","14,5 tỷ",161 m²,Không có thông tin,Không có thông tin,"Gia Lâm, Hà Nội","Vinhomes Ocean Park Gia Lâm, Dương Xá, Gia Lâm, Hà Nội"
"Chỉ từ 3 tỷ có nhà Hà Nội , cạnh khu đô thị Đô Nghĩa! Nội thất đầy đủ về ở luôn!","3,4 tỷ",40 m²,Không có thông tin,Không có thông tin,"Hà Đông, Hà Nội","Phường Yên Nghĩa, Hà Đông, Hà Nội"
Chỉ cần từ 4.5 tỷ sở hữu biệt thự khoáng nóng Tokyu Retreat. Cam kết thuê lại 40 - 70 triệu/tháng.,8 tỷ,180 m²,3,3,"Thanh Thủy, Phú Thọ","Dự án Wyndham Thanh Thủy, Xã Bảo Yên, Thanh Thủy, Phú Thọ"
"Nhà Đẹp Khu Vip Hoàng Hoa Thám, Bình Thạnh - HXH- Cách Mặt Tiền 2 căn","9,75 tỷ",44 m²,5,Không có thông tin,"Bình Thạnh, Hồ Chí Minh","Phường 7, Bình Thạnh, Hồ Chí Minh"
"Bán Đất 260m2 tại Nguyễn Du, Phường Nguyễn Du, Hai Bà Trưng, Hà Nội",260 tỷ,260 m²,Không có thông tin,Không có thông tin,"Hai Bà Trưng, Hà Nội","Đường Nguyễn Du, Phường Nguyễn Du, Hai Bà Trưng, Hà Nội"
Thật 100% thu 250 triệu/tháng 32 phòng CHDV hầm 6 tầng 6x25m. 150m2 Mặt tiền hẻm nhựa 10m Phổ Quang,"28,5 tỷ",160 m²,32,32,"Phú Nhuận, Hồ Chí Minh","Đường Phổ Quang, Phường 9, Phú Nhuận, Hồ Chí Minh"
"Hoang Huy New City thịnh vượng an gia, tinh hoa hội tụ. Siêu phẩm trung tâm hành chính Hải Phòng",Giá thỏa thuận,87 m²,4,Không có thông tin,"Thủy Nguyên, Hải Phòng","Dự án Hoàng Huy New City, Đường Đỗ Mười, Phường Dương Quan, Thủy Nguyên, Hải Phòng"
DƯỚI 80TR/1 M2. 286 M2 . GÒ VẤP KHÔNG CÒN CĂN THỨ 2 ĐỂ SO SÁNH . XUNG QUANH BIỆT THỰ CAO CẤP,"22,5 tỷ",286 m²,Không có thông tin,Không có thông tin,"Gò Vấp, Hồ Chí Minh","Đường Lê Đức Thọ, Phường 15, Gò Vấp, Hồ Chí Minh"
"Thật 100% (ngang 12x22m 230m2) hẻm 6m xe hơi 7 chỗ vào nhà Hoàng Sa, Quận 3",Giá thỏa thuận,230 m²,5,3,"Quận 3, Hồ Chí Minh","Đường Hoàng Sa, Phường 9, Quận 3, Hồ Chí Minh"
"Độc quyền phân phối đất nền LK và BT KĐT Hà Phong, Mê Linh. Sổ đỏ chính chủ, cam kết giá rẻ nhất TT","15,2 tỷ",304 m²,Không có thông tin,Không có thông tin,"Mê Linh, Hà Nội","Dự án Hà Phong, Xã Tiền Phong, Mê Linh, Hà Nội"
Sở hữu căn góc liền kề đắc địa - đầu tư sinh lời tại Vinhomes Golden Avenue,"16,17 tỷ",133 m²,Không có thông tin,Không có thông tin,"Móng Cái, Quảng Ninh","Dự án Vinhomes Golden Avenue Móng Cái, Phường Hải Hòa, Móng Cái, Quảng Ninh"
"Bán nhà Trần Khát Chân- Ô tô vào nhà-kinh doanh sầm uất-80m2-Giá 15,5 tỷ-mặt tiền 5m-trung tâm HBT",155 tỷ,80 m²,4,4,"Hai Bà Trưng, Hà Nội","Đường Trần Khát Chân, Phường Thanh Lương, Hai Bà Trưng, Hà Nội"
"NHÀ MỚI KOONG HOÀNG MAI 34M 4 TẦNG 5.3 TỶ, NGÕ RỘNG THÊNH THANG.","5,3 tỷ",34 m²,3,3,"Hoàng Mai, Hà Nội","Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội"
"ĐÁT BIỆT THỰ VIEW SÔNG, 245M2=10x24,5 FULL THỔ CƯ,SỔ HỒNG,MT ĐƯỜNG NHỰA 8M GIÁP TPHCM - GIÁ 33TR/M2","8,09 tỷ",245 m²,Không có thông tin,Không có thông tin,"Thuận An, Bình Dương","Đường Vĩnh Phú 10, Phường Vĩnh Phú, Thuận An, Bình Dương"
"Chính chủ bán nhà phố Centana ĐPT, 3 lầu kinh doanh được giá 7.1 tỷ, sổ hồng hoàn công","7,1 tỷ",80 m²,4,4,"Quận 9, Hồ Chí Minh","Dự án Centana City Điền Phúc Thành, Phường Long Trường, Quận 9, Hồ Chí Minh"
"Em gắn bó, sâu sát với Xanh Villas ngay từ đầu. Chuyên nghiệp, không làm phiền và vào việc luôn ạ",Giá thỏa thuận,250 m²,4,4,"Thạch Thất, Hà Nội","Dự án Xanh Villas, Đường Đại lộ Thăng Long, Xã Tiến Xuân, Thạch Thất, Hà Nội"
"Chính chủ bán nhà phố Centana ĐPT, 3 lầu kinh doanh được giá 7.1 tỷ, sổ hồng hoàn công","7,1 tỷ",80 m²,4,4,"Quận 9, Hồ Chí Minh","Dự án Centana City Điền Phúc Thành, Phường Long Trường, Quận 9, Hồ Chí Minh"
"Em gắn bó, sâu sát với Xanh Villas ngay từ đầu. Chuyên nghiệp, không làm phiền và vào việc luôn ạ",Giá thỏa thuận,250 m²,4,4,"Thạch Thất, Hà Nội","Dự án Xanh Villas, Đường Đại lộ Thăng Long, Xã Tiến Xuân, Thạch Thất, Hà Nội"
"Bán đất đường Tây Hòa 9, 1,2 tỷ VND, 103,5 m2, giá tốt hàng độc tại","1,2 tỷ","103,5 m²",Không có thông tin,Không có thông tin,"Trảng Bom, Đồng Nai","Đường Tây Hòa 9, Xã Tây Hòa, Trảng Bom, Đồng Nai"
"Bán shophouse tại Vinhomes Royal Island, 12,655 tỷ, 90m2, giá tốt, uy tín, Hải Phòng","12,66 tỷ",90 m²,Không có thông tin,Không có thông tin,"Thủy Nguyên, Hải Phòng","Vinhomes Royal Island, Phường Thủy Hà, Thủy Nguyên, Hải Phòng"
"Chủ nợ NH cần bán gấp luôn, BT Việt Hưng - vừa ở vừa văn phòng: 250m2, 4 tầng, giá 45tỷ",45 tỷ,250 m²,4,4,"Long Biên, Hà Nội","Dự án Việt Hưng, Phường Đức Giang, Long Biên, Hà Nội"
Chính chủ cần bán căn Lk 116m2 đường 15.5m giá 35 tỷ view chung cư,35 tỷ,116 m²,5,5,"Bắc Từ Liêm, Hà Nội","Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội"
"Bán đất mặt tiền đường nhựa Trung Đông 11 xã Thới Tam Thôn huyện Hóc Môn, lộ giới quy hoạch 16m","11,81 tỷ","1.687,3 m²",Không có thông tin,Không có thông tin,"Hóc Môn, Hồ Chí Minh","Đường Trung Đông 11, Xã Thới Tam Thôn, Hóc Môn, Hồ Chí Minh"
"Bán đất nền tại đường Cà Xo, Châu Đức, Bà Rịa Vũng Tàu, giá thỏa thuận, 2897m2 đẹp, tiện ích","2,85 tỷ",2.897 m²,Không có thông tin,Không có thông tin,"Châu Đức, Bà Rịa Vũng Tàu","Đường Cà Xo, Xã Sơn Bình, Châu Đức, Bà Rịa Vũng Tàu"
Bán đất Vĩnh Thanh Nhơn Trạch 2 mặt tiền có đường giao thông nhà nước,"34,83 tỷ",26.794 m²,Không có thông tin,Không có thông tin,"Nhơn Trạch, Đồng Nai","Xã Vĩnh Thanh, Nhơn Trạch, Đồng Nai"
"NOXH tại dự án Solrise Nhơn Phú 2, TP. Quy Nhơn - Giá chỉ từ 88tr ký ngay hđmb nhận nhà liền tay!",Giá thỏa thuận,58 m²,2,2,"Quy Nhơn, Bình Định","Đường Tây Sơn, Phường Nhơn Phú, Quy Nhơn, Bình Định"
"Rổ Hàng Lớn Tại Opal Boulevard Giá Siêu HOT Từ 2.7-3 Tỷ/Căn Có Nội Thất, Chuyên Bán OPAL 0938 893 ***","2,8 tỷ",74 m²,2,2,"Dĩ An, Bình Dương","Opal Boulevard, Kha Vạn Cân, An Bình, Dĩ An, Bình Dương"
"Anh họ mình gửi bán nhà mặt phố Trần Cung, kinh doanh sầm uất, 62m2, 11,9 tỷ","11,9 tỷ",62 m²,Không có thông tin,Không có thông tin,"Cầu Giấy, Hà Nội","Phố Trần Cung, Phường Nghĩa Tân, Cầu Giấy, Hà Nội"
"Bán gấp căn 4 phòng ngủ đẹp rộng view thoáng mát Vinhomes Central Park, LH 0901 511 ***","14,5 tỷ",140 m²,4,3,"Bình Thạnh, Hồ Chí Minh","Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
"Bán căn hộ toà L3 Vinhomes Central Park, 13,3 tỷ, 107m2 view đẹp, 3PN, 2WC, Bình Thạnh, HCM","13,3 tỷ",107 m²,3,2,"Bình Thạnh, Hồ Chí Minh","Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
Bán Đất Tràng An Chúc Sơn Mặt Trục Chính LH : 0929 656 ***,Giá thỏa thuận,"46,5 m²",Không có thông tin,Không có thông tin,"Chương Mỹ, Hà Nội","Đường Tràng An, Thị trấn Chúc Sơn, Chương Mỹ, Hà Nội"
"CHÍNH CHỦ BÁN ĐẤT YÊN NINH ,HIỀN NINH ,SÓC SƠN ,HÀ NỘI","1,95 tỷ",65 m²,Không có thông tin,Không có thông tin,"Sóc Sơn, Hà Nội","Xã Hiền Ninh, Sóc Sơn, Hà Nội"
"Bán nhà phố Dương Khuê kinh doanh ô tô tránh , vỉa hè đá bóng 45m 7 tầng thang máy, 21 tỷ",21 tỷ,45 m²,6,5,"Cầu Giấy, Hà Nội","Đường Dương Khuê, Phường Mai Dịch, Cầu Giấy, Hà Nội"
"DT 65m2, lô góc, LK TĐC ĐHQG sát trường mầm non rẻ hơn thị trường 2 - 3 giá",Giá thỏa thuận,65 m²,Không có thông tin,Không có thông tin,"Thạch Thất, Hà Nội","Đường 420, Xã Thạch Hòa, Thạch Thất, Hà Nội"
