Tên dự án,Giá,Diện tích,Phòng ngủ,Phòng vệ sinh,Vị trí,Địa chỉ chi tiết
"Gửi đến quý anh/chị giá sang nhượng T3/2025 các căn 2PN từ 2tỷ380, hỗ trợ vay bank 4,5%năm","2,45 tỷ",65 m²,2,2,"Bình Chánh, Hồ Chí Minh","Dự án Lovera Vista, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
"Ngân hàng cần thanh lý đất đường 10,5m khu đô thị số 4 thông FPT Đà Nẵng",Giá thỏa thuận,171 m²,Không có thông tin,Không có thông tin,"Điện Bàn, Quảng Nam","Dự án Khu đô thị số 4, Phường Điện Ngọc, Điện Bàn, Quảng Nam"
NGUYỄN KIM QUẬN 10 - 50M2 HẺM XE TẢI THÔNG - NGANG GẦN 5M GIÁ CHỈ 7.9T,"7,9 tỷ",40 m²,3,3,"Quận 10, Hồ Chí Minh","Đường Nguyễn Kim, Phường 7, Quận 10, Hồ Chí Minh"
"Bán Shophouse tại Phú Mỹ Hưng, 37 tỷ, 195m2, hàng hot!",37 tỷ,195 m²,Không có thông tin,Không có thông tin,"Quận 7, Hồ Chí Minh","Phú Mỹ Hưng, Đường Raymondienne, Phường Tân Phong, Quận 7, Hồ Chí Minh"
"Cực đẹp, nhà mới Cầu Giấy, 20m ra phố, ngõ to thông, tặng nội thất, cực thoáng, 38m2 x 4 tầng",7 tỷ,38 m²,5,5,"Cầu Giấy, Hà Nội","Đường Xuân Thủy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội"
"Bán tòa nhà 6 tấm -120tr/th ngay đường Nơ Trang Long, Quận Bình Thạnh chỉ 21 tỷ còn TL",21 tỷ,158 m²,Không có thông tin,Không có thông tin,"Bình Thạnh, Hồ Chí Minh","Phường 12, Bình Thạnh, Hồ Chí Minh"
Bán Gấp penthouse Mỹ Tú 1 Phú Mỹ Hưng khu trung tâm,21 tỷ,297 m²,6,4,"Quận 7, Hồ Chí Minh","Mỹ Tú 1, Lý Long Tường, Tân Phong, Quận 7, Hồ Chí Minh"
"Nhận Booking bán đợt 2 Khải Hoàn Prime chuẩn resort 55-63tr/m2 tặng 1 năm PQL, chiết khấu 3%","4,46 tỷ",81 m²,3,Không có thông tin,"Nhà Bè, Hồ Chí Minh","Khải Hoàn Prime, 1578, Đường Lê Văn Lương, Xã Nhơn Đức, Nhà Bè, Hồ Chí Minh"
"(Căn mới) quỹ căn hộ đang rao bán tại WB. DT 65m2, 85m, 90m, 110m, 129m: Giá chỉ từ 5.6 tỷ - 11 tỷ",Giá thỏa thuận,65 m²,2,2,"Nam Từ Liêm, Hà Nội","Dự án Vinhomes West Point, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội"
"Bán Gấp Liền Kề Mặt Phố Nguyễn Xiển, Lô Góc 3 Mặt Tiền, Diện Tích 117m, 6 Tầng, Chỉ 40 Tỷ có TL",40 tỷ,117 m²,5,5,"Thanh Trì, Hà Nội","Rue De Charme, Đường Nguyễn Xiển, Xã Tân Triều, Thanh Trì, Hà Nội"
"Shophouse (nhà phố thương mại) 2 mặt tiền, view sông lớn, giá tốt nhât thị trường, cho trả chậm.",Giá thỏa thuận,490 m²,Không có thông tin,4,"Quận 7, Hồ Chí Minh","The Panorama, Đường Tôn Dật Tiên, Phường Tân Phong, Quận 7, Hồ Chí Minh"
Hot! Suất Ngoại Giao căn góc - mặt tiền 20m - giá 255 tr/m2 tại Jade Square Phạm Văn Đồng,"49,98 tỷ",196 m²,7,7,"Bắc Từ Liêm, Hà Nội","Dự án Jade Square, Đường Nguyễn Đình Tứ, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội"
"Bán căn 58m2 (2PN 1WC), để lại vài nội thất. Giá chỉ 3,1 tỷ","3,1 tỷ",58 m²,2,1,"Bình Chánh, Hồ Chí Minh","Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
"Giảm mạnh 400 triệu bán gấp nhà giá 3 tỷ 250 triệu Nguyễn Đình Chiểu, Phường 5, Quận 3, DT 67,5m2","3,25 tỷ","67,5 m²",4,5,"Quận 3, Hồ Chí Minh","Đường Nguyễn Đình Chiểu, Phường 5, Quận 3, Hồ Chí Minh"
"Quỹ căn duplex mới nhất tại PentStudio Tây Hồ: 4.9 tỷ/căn nhỏ - 6 tỷ/căn to đủ đồ, có sổ lâu dài",6 tỷ,76 m²,Không có thông tin,Không có thông tin,"Tây Hồ, Hà Nội","Dự án PentStudio, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội"
"Giảm mạnh 400 triệu bán gấp nhà giá 3 tỷ 250 triệu Nguyễn Đình Chiểu, Phường 5, Quận 3, DT 67,5m2","3,25 tỷ","67,5 m²",4,5,"Quận 3, Hồ Chí Minh","Đường Nguyễn Đình Chiểu, Phường 5, Quận 3, Hồ Chí Minh"
"Quỹ căn duplex mới nhất tại PentStudio Tây Hồ: 4.9 tỷ/căn nhỏ - 6 tỷ/căn to đủ đồ, có sổ lâu dài",6 tỷ,76 m²,Không có thông tin,Không có thông tin,"Tây Hồ, Hà Nội","Dự án PentStudio, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội"
Bán đất biển Mũi Né giá tốt LH 0986 707 ***,12 tỷ,398 m²,Không có thông tin,Không có thông tin,"Phan Thiết, Bình Thuận","Đường Xuân Thủy, Phường Mũi Né, Phan Thiết, Bình Thuận"
"BÁN BIỆT THỰ XÂY THÔ 3 TẦNG 266,4M2 MẶT TIỀN ĐƯỜNG TRẦN HƯNG ĐẠO TRUNG TÂM THÀNH PHỐ","7,3 tỷ","266,4 m²",Không có thông tin,Không có thông tin,"Lào Cai, Lào Cai","Phường Bắc Lệnh, Lào Cai, Lào Cai"
"Bán Gấp CHCC Richstar Lầu Cao View Đông Mát - 84m2 3PN Giá Thật 3,4 tỷ LH: 0944 904 *** Lý (View đẹp)","3,4 tỷ",84 m²,3,2,"Tân Phú, Hồ Chí Minh","RichStar, 239 - 241 - 278, Đường Hòa Bình, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh"
"Tài Sản Khan Hiếm Đường Số 4 Mặt Tiền Khu Cư Xá Đô Thành, P4, Quận 3 (DT:5,9x15m) Giá 22,5Tỷ TL","22,5 tỷ",71 m²,8,8,"Quận 3, Hồ Chí Minh","Đường Số 4 Cư xá Đô Thành, Phường 4, Quận 3, Hồ Chí Minh"
Bán quỹ căn đẹp dự án Him Lam Central Park An Hồng. Gía gốc từ chủ đầu tư. LH ngay 0369 863 ***,Giá thỏa thuận,60 m²,4,3,"Hồng Bàng, Hải Phòng","Him Lam Central Park An Hồng, Đường 10, Phường An Hồng, Hồng Bàng, Hải Phòng"
Nhận booking quỹ độc quyền shophouse mặt biển Cát Bà Xanh Island chỉ từ 50tr HTLS 70% lên đến 3 năm,Giá thỏa thuận,135 m²,3,2,"Cát Hải, Hải Phòng","Dự án Xanh Island Cát Bà, Thị trấn Cát Bà, Cát Hải, Hải Phòng"
"Bán Aqua City - The Suite 8x20m nhận nhà ở ngay giá 7.3 tỷ, ngay Quảng trường sông, đã có pháp lý","6,8 tỷ",160 m²,3,Không có thông tin,"Biên Hòa, Đồng Nai","Aqua City, Long Hưng, Biên Hòa, Đồng Nai"
"Hạ giá từ 6,5 tỷ còn 5,9 tỷ cho lô đất khu số 5 An Sơn Đà Lạt cần bán gấp","5,9 tỷ",76 m²,Không có thông tin,Không có thông tin,"Đà Lạt, Lâm Đồng","Đường An Sơn, Phường 4, Đà Lạt, Lâm Đồng"
"Bán BT Vip tại Mỹ Đình, diện tích 200m2 xây 4 tầng MT 10m, giá chỉ 60 tỷ.",60 tỷ,200 m²,3,5,"Nam Từ Liêm, Hà Nội","Đường Hoài Thanh, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội"
"VĨNH HỒ CĂN HỘ TT SỔ 25M, SD 60M, 3 NGỦ, GIÁ 2.88 TỶ.","2,88 tỷ",25 m²,3,1,"Đống Đa, Hà Nội","Đường Vĩnh Hồ, Phường Thịnh Quang, Đống Đa, Hà Nội"
"Cần thanh khoản 5 lô đất KĐT Golden Hills, sổ hồng trao tay, vị trí đẹp","2,38 tỷ",125 m²,Không có thông tin,Không có thông tin,"Liên Chiểu, Đà Nẵng","Dự án Golden Hills City, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng"
"Chủ cần tiền gửi bán dự án LK11, LK18, LK09, LK20 Phương Đông, DT 87,5m2 giá từ 1,7 tỷ","1,7 tỷ","87,5 m²",Không có thông tin,Không có thông tin,"Vân Đồn, Quảng Ninh","Dự án Khu đô thị Phương Đông, Xã Đông Xá, Vân Đồn, Quảng Ninh"
"Bán nhà 2MT Lê Trọng Tấn, 6.6x14m, 1 lầu, 3PN, vị trí kinh doanh, 15 tỷ",15 tỷ,92 m²,3,2,"Tân Phú, Hồ Chí Minh","Đường Lê Trọng Tấn, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh"
"Hàng Hiếm. Bán Biệt Thự Thành Phố Giao Lưu 220m2 xây 4 tầng, mặt tiền 12m, vỉa hè 8m, đường 40m",Giá thỏa thuận,220 m²,Không có thông tin,Không có thông tin,"Bắc Từ Liêm, Hà Nội","Thành phố Giao Lưu, Phạm Văn Đồng, Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội"
"BÁN CĂN GẤP SHOPHOUSE TẠI TOÀ C2 XUÂN ĐỈNH DIỆN TÍCH 190M2 giá 8,5 tỷ 0967 555 ***","8,5 tỷ",190 m²,2,2,"Bắc Từ Liêm, Hà Nội","Megastar Tây Hồ, Phố Đỗ Nhuận, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội"
"đất view đẹp - thoáng mát - giả rê sẵn thổ cư tại Xã Quảng Lập, Huyện Đơn Dương, Tỉnh Lâm Đồng",365 triệu,130 m²,Không có thông tin,Không có thông tin,"Đơn Dương, Lâm Đồng","Xã Quảng Lập, Đơn Dương, Lâm Đồng"
Chính chủ gửi bán lô đất mặt đường Ngô Gia Tự đoạn ngã 3 Lũng Đông 132m2 ngang 5m giá 72 triệu/m2,Giá thỏa thuận,132 m²,Không có thông tin,Không có thông tin,"Hải An, Hải Phòng","Đường Ngô Gia Tự, Phường Đằng Hải, Hải An, Hải Phòng"
"Cc bán lô đất hơn 4 tỷ tại vườn sen từ sơn, đã có sổ hồng, rẻ gơn thụ trường 200tr.lh 0326 569 ***",Giá thỏa thuận,"101,6 m²",Không có thông tin,Không có thông tin,"Từ Sơn, Bắc Ninh",Vườn sen
"Cc bán lô đất hơn 4 tỷ tại vườn sen từ sơn, đã có sổ hồng, rẻ gơn thụ trường 200tr.lh 0326 569 ***",Giá thỏa thuận,"101,6 m²",Không có thông tin,Không có thông tin,"Từ Sơn, Bắc Ninh",Vườn sen
7 TẦNG THANG MÁY -- ĐẲNG CẤP HIMLAM -- MẶT TIỀN KHỦNG -- SÁT CHUNG CƯ -- SIÊU SIÊU VIP,"22,5 tỷ",75 m²,6,6,"Hà Đông, Hà Nội","Him Lam Vạn Phúc, Đường Tố Hữu, Phường Vạn Phúc, Hà Đông, Hà Nội"
114m full thổ cư đường thông khu đông dân cư tiện ích đầy đủ cách chợ và trường học các cấp chỉ 500,16 triệu,114 m²,Không có thông tin,Không có thông tin,"Sóc Sơn, Hà Nội","Xã Minh Phú, Sóc Sơn, Hà Nội"
"Tìm kiếm chủ nhân DANH GIÁ cho BIỆT THỰ TẦNG KHÔNG- DUAL FRONT The Symphony Đà Nẵng, CK lên đến 21%","23,52 tỷ",98 m²,Không có thông tin,Không có thông tin,"Sơn Trà, Đà Nẵng","Sun Symphony Residence, Trần Hưng Đạo, Nại Hiên Đông , Sơn Trà, Đà Nẵng"
"Chính chủ bán mảnh đất thị trấn Hồ, Thuận Thành, Bắc Ninh","1,8 tỷ",72 m²,Không có thông tin,Không có thông tin,"Thuận Thành, Bắc Ninh","Thị trấn Hồ, Thuận Thành, Bắc Ninh"
"FULL 35 CĂN VILLA PARK, HOT 160m2-18T, BTSL 108tr/m2","17,5 tỷ",160 m²,5,Không có thông tin,"Quận 9, Hồ Chí Minh","Dự án Villa Park, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
"71,3 tỷ - 268m2 - Căn góc - Bán biệt thự Jade Square, Bắc Từ Liêm, Hà Nội","71,3 tỷ",268 m²,Không có thông tin,Không có thông tin,"Bắc Từ Liêm, Hà Nội","Jade Square, Đường Nguyễn Đình Tứ, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội"
Bán siêu mặt tiền trung tâm Huế,110 tỷ,400 m²,Không có thông tin,Không có thông tin,"Huế, Thừa Thiên Huế","Đường Lê Quý Đôn, Phường Phú Hội, Huế, Thừa Thiên Huế"
"Nhà 3 tầng, 56m2(4.2mx13.4m) Đường Lê Liễu, Tân Quý, gần Aeon Mall Tân Phú 6.05 tỷ thương lượng","6,05 tỷ",56 m²,3,3,"Tân Phú, Hồ Chí Minh","Lê Liễu, Tân Quý, Tân Phú, Hồ Chí Minh"
2 Lô Đất giá f0 cho các nhà đầu tư Tân Yên-Hồng Kỳ-Sóc Sơn,790 triệu,100 m²,Không có thông tin,Không có thông tin,"Sóc Sơn, Hà Nội","Xã Hồng Kỳ, Huyện Sóc Sơn, Hà Nội"
"Đất biển Mỹ Khê sát đường Phạm Văn Đồng, sát Biển giá chỉ hơn 50 triệu/m2","9,2 tỷ",172 m²,4,3,"Sơn Trà, Đà Nẵng","Đường Đinh Thị Hòa, Phường An Hải Bắc, Sơn Trà, Đà Nẵng"
Cần bán căn hộ lô góc - hướng mát- nhiều nắng- 93m2 - 3 ngủ - khu dự án Thạch Bàn Q. Long Biên.,"4,3 tỷ","92,2 m²",3,2,"Long Biên, Hà Nội","Dự án Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội"
Chỉ còn 1 căn giá rẻ tại phân khu Ánh Dương - Vinhomes Cổ Loa 80m2 - mặt tiền: 5m,"17,6 tỷ",80 m²,4,3,"Đông Anh, Hà Nội","Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội"
"Mặt tiền CX Chu Văn An 4,5 x 12m - Bình Thạnh - căn góc - nhà 4 tầng - HDT 29triệu - giá: 10,9 tỷ","10,9 tỷ",39 m²,6,4,"Bình Thạnh, Hồ Chí Minh","Đường 6, Phường 26, Bình Thạnh, Hồ Chí Minh"
"Bán đất nền rẻ nhất dự án 132m2, 41,5 triệu/m2 tại Centana Điền Phúc Thành,P Long Trường, Quận 9","5,48 tỷ",132 m²,Không có thông tin,Không có thông tin,"Quận 9, Hồ Chí Minh","Centana City Điền Phúc Thành, Phường Long Trường, Quận 9, Hồ Chí Minh"
"Gấp Gấp! Bán nhà 3 tỷ 150 xây 69m2 Đào Duy Anh, P9, Phú Nhuận. Gần trường Hồ Văn Huê, hẻm oto 6m.","3,15 tỷ",69 m²,4,5,"Phú Nhuận, Hồ Chí Minh","Đường Đào Duy Anh, Phường 9, Phú Nhuận, Hồ Chí Minh"
"Chính chủ: Bán nhà mặt tiền đường Chợ Lớn, phường 11, Quận 6, 160m2, giá 31,5 tỉ","31,5 tỷ",160 m²,4,4,"Quận 6, Hồ Chí Minh","Đường Chợ Lớn, Phường 11, Quận 6, Hồ Chí Minh"
"Căn hộ Phạm Văn Đồng kế sân bay 1,52 tỷ/2PN sẵn nội thất, ở ngay - 0703 501 ***","1,52 tỷ",52 m²,2,2,"Gò Vấp, Hồ Chí Minh","Đường Phạm Văn Đồng, Phường 1, Gò Vấp, Hồ Chí Minh"
Lk Văn Phú - sát quận uỷ Hà Đông - 200m ra Metro - nhà đẹp long lanh - giá tuyệt vời,"19,9 tỷ",96 m²,5,5,"Hà Đông, Hà Nội","Dự án KĐT Văn Phú, Đường Hoàng Đôn Hòa, Phường Phú La, Hà Đông, Hà Nội"
"Đất Khu dân cư Thanh Phú,an cư lạc nghiệp.Sổ hồng riêng,xây tự do,5x19 chỉ 1,8 tỷ.LH: 0936 063 ***","1,42 tỷ",95 m²,Không có thông tin,Không có thông tin,"Bến Lức, Long An","King Hill Residences, Xã Thanh Phú, Bến Lức, Long An"
Mới! Chủ nhà tin tưởng nhiệt tình gửi bán nhiều căn hộ 2N3N4N được cập nhật liên tục trong T2/2025,"6,5 tỷ",118 m²,3,2,"Nam Từ Liêm, Hà Nội","Dự án Golden Palace, đường Mễ Trì, Phường Mễ Trì, Nam Từ Liêm, Hà Nội"
"Chính chủ gửi bán độc quyền đất nền LK và BT KĐT Cienco5 Mê Linh, sát cạnh trường ĐH TCNH, sổ đỏ CC",3 tỷ,100 m²,Không có thông tin,Không có thông tin,"Mê Linh, Hà Nội","Dự án Cienco 5 Mê Linh, Xã Tiền Phong, Mê Linh, Hà Nội"
49m mt8m khu giãn dân Quan Zai,40 triệu,149 m²,Không có thông tin,Không có thông tin,"Thạch Thất, Hà Nội","Xã Đồng Trúc, Thạch Thất, Hà Nội"
"Bán đất nền dự án tại Khu Đô Thị Đông Bình Dương giá 880 triệu, 80 m2.",880 triệu,80 m²,Không có thông tin,Không có thông tin,"Dĩ An, Bình Dương","Khu đô thị Đông Bình Dương, Đường Nguyễn Thị Minh Khai, Phường Tân Bình, Dĩ An, Bình Dương"
MỞ BÁN ĐẤT NỀN TMS PHÚC YÊN NHỈNH 3 TY - tài chính này đang khan hàng - 70m2 lh 0968 781 ***,Giá thỏa thuận,70 m²,Không có thông tin,Không có thông tin,"Phúc Yên, Vĩnh Phúc","TMS Grand City Phúc Yên, Hùng Vương, Phúc Yên, Vĩnh Phúc"
"Bán đất Đông Dư Gia Lâm, ô tô tránh, kinh doanh, 350m2, mặt tiền 11m, giá chỉ 25 tỷ",25 tỷ,350 m²,Không có thông tin,Không có thông tin,"Gia Lâm, Hà Nội","Đường Giáp Hải, Xã Đa Tốn, Gia Lâm, Hà Nội"
Chính chủ cần bán căn hộ 2 ngủ 1 wc full đồ mới đẹp ở toà Thiên Niên Kỉ đối diện bưu điện Hà Đông,"4,25 tỷ","54,5 m²",2,1,"Hà Đông, Hà Nội","Tòa Tháp Thiên Niên Kỷ, số 04, Đường Quang Trung, Phường Quang Trung, Hà Đông, Hà Nội"
"BÁN 50M ĐẤT TẶNG NHÀ 2 TẦNG. 1 TUM. , DỰ ÁN SIÊU HÓT CẦU TỨ LIÊN TẠI THÔN LÊ XÁ , MAI LÂM .","4,2 tỷ","50,5 m²",3,2,"Đông Anh, Hà Nội","Xã Mai Lâm, Đông Anh, Hà Nội"
Cần bán nhà Cổ Linh Thạch Bàn Long Biên Hà Nội,"15,5 tỷ",55 m²,4,4,"Long Biên, Hà Nội","Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội"
Bán đất Trong Đê - Đường thông - Thái Bình - Mai Lâm - Đông Anh - Hà Nội . Giá chốt 3.260 tỷ .,"3,26 tỷ","52,3 m²",Không có thông tin,Không có thông tin,"Đông Anh, Hà Nội","Xã Mai Lâm, Đông Anh, Hà Nội"
Hoa Hồng 150tr - Bán nhà mặt tiền Trịnh Thị Tho - Tân Phú - 62m2 - 5T - 10.8 Tỷ,"10,8 tỷ",62 m²,6,7,"Tân Phú, Hồ Chí Minh","Đường Trịnh Thị Tho, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh"
"Bán nhanh căn hộ Riverside Residence 180m2 3PN, 3WC, view đẹp, 14,5 tỷ. LH 0902 944 ***","14,5 tỷ",180 m²,3,3,"Quận 7, Hồ Chí Minh","Dự án Riverside Residence, Đường Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Hồ Chí Minh"
Chính chủ cần bán biệt thự và liền kề dự án ParkCity Hà Đông,Giá thỏa thuận,120 m²,Không có thông tin,Không có thông tin,"Hà Đông, Hà Nội","Dự án ParkCity Hà Nội, Đường Lê Trọng Tấn, Phường La Khê, Hà Đông, Hà Nội"
"Tổng hợp các căn hộ chung cư Văn Khê 3 phòng ngủ, 2 phòng ngủ giá rẻ - 0982 753 ***","3,65 tỷ",74 m²,2,2,"Hà Đông, Hà Nội","Dự án Văn Khê, Phường La Khê, Hà Đông, Hà Nội"
"Giỏ hàng căn hộ CC Flemington, Quận 11, DT: 117m2, 220m2, 87m2, 97m2: Lh: 0907 970 ***, giá 6,550 tỷ","6,55 tỷ",117 m²,3,2,"Quận 11, Hồ Chí Minh","Dự án The Flemington, Đường Lê Đại Hành, Phường 15, Quận 11, Hồ Chí Minh"
"Tổng hợp giỏ hàng đất nền biệt thự FPT City Đà nẵng, giá tốt vị trí đẹp T3.2025 chuyên KĐT FPT","3,25 tỷ",102 m²,Không có thông tin,Không có thông tin,"Ngũ Hành Sơn, Đà Nẵng","Dự án FPT City Đà Nẵng, Đường Võ Chí Công, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng"
Bán đất rẻ nhất Hải Phong gần sát Vin Dương Kinh chắc chắn lãi,999 triệu,50 m²,Không có thông tin,Không có thông tin,"Dương Kinh, Hải Phòng","Đường Hải Phong, Phường Hòa Nghĩa, Dương Kinh, Hải Phòng"
Lĩnh Nam dân xây chất 50m2 5 tầng giá 6tỷ,6 tỷ,50 m²,4,Không có thông tin,"Hoàng Mai, Hà Nội","Đường Lĩnh Nam, Phường Lĩnh Nam, Hoàng Mai, Hà Nội"
"Cắt lỗ căn 2PN2VS góc 69,1 m2 Đông Bắc phân khu cao cấp Metropolitan view thoáng đẹp, giá 3,55 tỷ","3,55 tỷ","69,1 m²",2,2,"Gia Lâm, Hà Nội","Dự án The Zurich - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội"
Chính Chủ tôi cần bán 418m có 100m thổ cư wieu cánh đồng tại cao sơn lương sơn hoà bình,Giá thỏa thuận,418 m²,Không có thông tin,Không có thông tin,"Lương Sơn, Hòa Bình","Đường Liên Xã, Xã Cao Sơn, Lương Sơn, Hòa Bình"
"Cắt lỗ căn 2PN2VS góc 69,1 m2 Đông Bắc phân khu cao cấp Metropolitan view thoáng đẹp, giá 3,55 tỷ","3,55 tỷ","69,1 m²",2,2,"Gia Lâm, Hà Nội","Dự án The Zurich - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội"
Chính Chủ tôi cần bán 418m có 100m thổ cư wieu cánh đồng tại cao sơn lương sơn hoà bình,Giá thỏa thuận,418 m²,Không có thông tin,Không có thông tin,"Lương Sơn, Hòa Bình","Đường Liên Xã, Xã Cao Sơn, Lương Sơn, Hòa Bình"
"Bán khách sạn thu nhập 65trieu/tháng tại Vissip1 Bình Dương, giấy phép đầu đủ ạ. 0366 236 ***","10,8 tỷ",150 m²,22,22,"Thuận An, Bình Dương","Phường Thuận Giao, Thuận An, Bình Dương"
"Bán gấp nhà riêng 4PN, 3WC, 41m2 giá cực chất tại Nguyễn Chính, Tân Mai, Hoàng Mai, Hà Nội","5,8 tỷ",41 m²,4,3,"Hoàng Mai, Hà Nội","Đường Nguyễn Chính, Phường Tân Mai, Hoàng Mai, Hà Nội"
"Bán đất tại đường 8, phường Long Phước, Quận 9, Hồ Chí Minh, 2,15 tỷ, 59m2 giá ưu đãi","2,15 tỷ",59 m²,Không có thông tin,Không có thông tin,"Quận 9, Hồ Chí Minh","Đường 8, Phường Long Phước, Quận 9, Hồ Chí Minh"
"Đất Nền Dự Án Nam Long II Cần Thơ Chính Thức Bán giá chỉ từ 3,1 tỷ/nền nhà phố và 6 tỷ/nền Biệt Thự","3,1 tỷ",90 m²,Không có thông tin,Không có thông tin,"Cái Răng, Cần Thơ","Nam Long II Central Lake, Hưng Thạnh, Cái Răng, Cần Thơ"
"Siêu phẩm 110m2 cạnh đại học fpt , giá nhỉnh 2 tỷ đầu tư xây trọ được luôn ,tân xã bình yên hà nội","2,6 tỷ",110 m²,Không có thông tin,Không có thông tin,"Thạch Thất, Hà Nội","Đường 419, Xã Tân Xã, Thạch Thất, Hà Nội"
"Bán nhà Mặt tiền đ.số Lý Phục Man Q7, 4 tầng, 5x13, nhỉnh 10T","10,8 tỷ",65 m²,4,4,"Quận 7, Hồ Chí Minh","Đường Lý Phục Man, Phường Bình Thuận, Quận 7, Hồ Chí Minh"
"Chính chủ bán đất, đường oto tránh nhau","2,55 tỷ",80 m²,Không có thông tin,Không có thông tin,"Chương Mỹ, Hà Nội","Xã Phụng Châu, Chương Mỹ, Hà Nội"
"Nhà Phân lô,Gara Ô tô, Th.máy, Kiến trúc sư xây, K.doanh,TT Q.Hoàng Mai, 50m x 5 tầng, Chào 10,5 Tỷ","10,5 tỷ",50 m²,Không có thông tin,Không có thông tin,"Hoàng Mai, Hà Nội","Đường Tam Trinh, Phường Mai Động, Hoàng Mai, Hà Nội"
New City Update 15/03 giỏ hàng bán 1PN 2PN 3PN đa dạng diện tích vay 80% LH Sinh 0923 939 ***,"6,35 tỷ",85 m²,3,2,"Quận 2, Hồ Chí Minh","Dự án New City Thủ Thiêm, Đường Mai Chí Thọ, Phường Bình Khánh, Quận 2, Hồ Chí Minh"
"Kiều Trinh - 314 chủ nhà cần tiền bán nhanh rẻ hơn thị trường chỉ 1,620 tỷ, cho thuê ngay 9 triệu","1,62 tỷ",52 m²,1,2,"Nha Trang, Khánh Hòa","Mường Thanh Viễn Triều, Phạm Văn Đồng, Vĩnh Phước, Nha Trang, Khánh Hòa"
"Cập nhật quỹ căn chuyển nhượng tại Xanh villa giá tốt, làm việc chính chủ, hỗ trợ giấy tờ hồ sơ",15 tỷ,250 m²,Không có thông tin,Không có thông tin,"Thạch Thất, Hà Nội","Xanh Villas, Đường Đại lộ Thăng Long, Xã Tiến Xuân, Thạch Thất, Hà Nội"
"Bán nhà riêng tại đường Lĩnh Nam, Hoàng Mai, Hà Nội, 5 tỷ, 40 m2",5 tỷ,40 m²,Không có thông tin,Không có thông tin,"Hoàng Mai, Hà Nội","Đường Lĩnh Nam, Phường Lĩnh Nam, Hoàng Mai, Hà Nội"
"Cặp lô MT Trần Minh Tông, Hoà Minh, Liên Chiểu thuận tiện xây căn hộ dịch vụ 105m giá 5.45 Tỷ Tl","5,45 tỷ",105 m²,Không có thông tin,Không có thông tin,"Liên Chiểu, Đà Nẵng","Đường Trần Minh Tông, Phường Hòa Minh, Liên Chiểu, Đà Nẵng"
"nhà liền kề 3,5 tầng ở trung tâm thành phố Hải Phòng chỉ 3tỷ đồng",3 tỷ,60 m²,Không có thông tin,Không có thông tin,"Hồng Bàng, Hải Phòng","Him Lam Central Park An Hồng, Đường 10, Phường An Hồng, Hồng Bàng, Hải Phòng"
MẢNH ĐẤT VÀNG - KHU HIẾM NHÀ BÁN- RẤT THÍCH HỢP XÂY TOÀ CC-. KINH DOANH ĐỈNH- VỈA HÈ RỘNG.,210 tỷ,487 m²,3,4,"Đống Đa, Hà Nội","Đường Đoàn Thị Điểm, Phường Cát Linh, Đống Đa, Hà Nội"
"Siêu phẩm 61m2 x 6tầng, 14 phòng, thang máy, doanh thu 70 triệu/tháng. T.Tâm Hoàng Mai, chào 14,8tỷ","14,86 tỷ",61 m²,14,15,"Hoàng Mai, Hà Nội","Đường Giáp Bát, Phường Giáp Bát, Hoàng Mai, Hà Nội"
BÁN NHÀ KDC NAM KHANG 1462 NGUYỄN DUY TRINH P. LONG TRƯỜNG Q9 CẠNH KINGFOOD,"5,5 tỷ",56 m²,4,4,"Quận 9, Hồ Chí Minh","Đường Nguyễn Duy Trinh, Phường Long Trường, Quận 9, Hồ Chí Minh"
